BFY,FTYP,FUNDTYPE,DEPARTMENT,RSRC,REVSOURCE,BUDCURR,REVBFY
2023,EFOP,Enterprise Operating Fund,Aviation,7704,Conference Room  Rental Fee,9500,7963
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7516,Misc Docket Items Fee,85069,71342.43
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,781E,Chgs Serv-Barricade Rent Tax E,0,100
2023,INSV,Internal Service Fund,Equip & Bldg Svcs,8415,Misc-Sale of Fixed Assets,0,-80200
2022,GNFD,General Fund,Park & Recreation,7215,Chgs Serv-Swims Pools Family/Season Pass,209403,117623.08
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7047,Miscellaneous Bldg Insp,504037,281854.12
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,7550,Service Charge Nsf Checks,0,-11.08
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7529,Zoning Notify Sign Non Tax,8011,8080
2022,EFOP,Enterprise Operating Fund,Water Utilities,8488,Miscellaneous Refunds,0,12671.23
2022,GNFD,General Fund,City Attorney,8038,Civil Penalties,225000,538809.91
2022,INSV,Internal Service Fund,Communication & Info Svcs,9400,Intrd Rev-Rental,11189388,11804080.84
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7528,Zoning Verif Letter-Non Taxabl,87786,97800
2023,GNFD,General Fund,Transportation,6395,Dockless Vehicle Permit,125000,62500
2022,GNFD,General Fund,Office of Budget,7356,Secured Closure Delinquent Col,0,0
2022,GNFD,General Fund,Office of Budget,8116,Amortized Discount/Premium Int,0,376696.31
2023,GNFD,General Fund,Court & Detention Services,8013,Part Pay Installment Fee City,120000,77539.08
2022,GNFD,General Fund,Building Services,8441,Misc-Bullington St Pedestrian,61533,57061.02
2023,GNFD,General Fund,Transportation,6369,Lics/Pmts-Valet Parking Permit,80000,59330.02
2022,GNFD,General Fund,Office of Budget,9227,Radio Servies Indirect Cost,616378,333108
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,7832,Electrical Services Tax Exempt,2156889,1425060.57
2022,EFOP,Enterprise Operating Fund,Water Utilities,7847,Chgs Serv-Raw Wat-Tot Rev Reta,450000,1698244.48
2023,INSV,Internal Service Fund,Park & Recreation,9417,Intrd Rev-GO Bond Reimbursement,3876885,448930.5
2022,EFOP,Enterprise Operating Fund,Water Utilities,8451,Misc-Laterals-Sewer Permits,250000,473000
2022,GNFD,General Fund,Office of Budget,8100,Interest On Pooled Invest-Cash,850000,1719483.86
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7053,Bldg Insp Backflow Prevention,158835,176067
2022,GNFD,General Fund,Office of Budget,9254,Intfd Rev-PKR Bond Pgm-Indir Cst R,377234,395411
2023,GNFD,General Fund,Code Compliance,6347,Lics/Pmts-Cbd Concession Licen,11000,2400
2023,OTHO,Other Operating Fund,Communication & Info Svcs,7913,Cama Trunk Revenue,3797,1399.7
2022,INSV,Internal Service Fund,Equipment & Fleet Management,9405,Intfd Rev-Direct Work Order,419231,1064048.74
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787C,Infrastructure Inspection,400712,205632.65
2022,GNFD,General Fund,Park & Recreation,7219,Chgs Serv-Bldg Use Fee,731428,120506.05
2022,GNFD,General Fund,Court & Detention Services,7881,Chgs Serv-Muni Ct Warr Serv Fe,850000,715119.81
2022,GNFD,General Fund,Dallas Fire Department,7280,Fire Prevention Inspection,401154,353009
2023,GNFD,General Fund,Park & Recreation,7251,Chgs Serv-Glf Gf Aft 4PM Hol,313087,187976.46
2022,GNFD,General Fund,Sustainable Development and Construction,8428,Misc-Misc Revenue,0,0
2022,EFOP,Enterprise Operating Fund,Aviation,7467,Security Chrgs-Non-Taxable,0,23720
2022,EFOP,Enterprise Operating Fund,Water Utilities,842C,Misc-Refunding Bond Proceeds,0,50385.92
2023,GNFD,General Fund,Office of Budget,842A,Misc-Disc For Prompt Payment,0,32949.04
2022,GNFD,General Fund,Public Works & Transporation,8410,Misc-Rental Othr Properties,336817,362236.9
2023,GNFD,General Fund,Dallas Fire Department,7805,Chgs Serv-Motor Vehicle Accident Cleanup Fee,4579,0
2022,EFOP,Enterprise Operating Fund,Water Utilities,8803,Concession-Rev Lake Ray Hubbard,150000,98351.42
2023,GNFD,General Fund,Office of Budget,7263,Chgs Serv-Vending Mach Concess,0,14899.33
2023,INSV,Internal Service Fund,Management Services,9417,Intrd Rev-GO Bond Reimbursement,5259168,138235.55
2022,GNFD,General Fund,Park & Recreation,7255,Sundown Golf Fees,244148,433008.93
2022,EFOP,Enterprise Operating Fund,Water Utilities,7866,Chgs Serv-Ww-Retl Rev Surcharg,7000000,5730746.6
2022,GNFD,General Fund,Library,7540,Meeting Room Charges,24000,10670
2022,GNFD,General Fund,Office Of Cultural Affairs,8411,Misc-Gifts & Donations,0,0
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7044,Re-Inspection Fee,48625,33675
2022,GNFD,General Fund,Code Compliance,7277,Chg Serv-Interest On Del Accts,0,-15023.09
2022,GNFD,General Fund,Park & Recreation,7226,Chgs Serv-Tennis Doubles Court Fee,21489,8.04
2023,EFOP,Enterprise Operating Fund,Water Utilities,8428,Misc-Misc Revenue,200000,0
2022,GNFD,General Fund,Office Of Cultural Affairs,7219,Chgs Serv-Bldg Use Fee,780656,496521.56
2023,GNFD,General Fund,Code Compliance,8428,Misc-Misc Revenue,970819,140
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704O,Plan Review-Sign Installation or Construction,48954,35175
2023,GNFD,General Fund,Court & Detention Services,8016,Fines/ Arrest Fees,245000,192367.43
2022,EFOP,Enterprise Operating Fund,Water Utilities,8101,Interest-Int On Cert Of Dep,100000,92.63
2023,EFOP,Enterprise Operating Fund,Water Utilities,8420,Misc-Handling Charges,0,-408.7
2022,GNFD,General Fund,Office of Budget,6330,Lics/Pmts-Amusement Center,0,5070
2022,EFOP,Enterprise Operating Fund,Water Utilities,8428,Misc-Misc Revenue,200000,105.25
2022,GNFD,General Fund,Office of Budget,8575,Civil Penalities- Rehab,0,0
2022,GNFD,General Fund,Office of Budget,8208,Othr Sale-Fran Txes-Gen Tele,0,13840.68
2022,GNFD,General Fund,Court & Detention Services,8034,Dps Failure To Appear Fee,60130,37983.54
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,8100,Interest On Pooled Invest-Cash,0,282307.69
